DateTime,OKX Open,OKX High,OKX Low,OKX Close,OKX Volume,OKX Spread,OKX Percentage Change,Binance Open,Binance High,Binance Low,Binance Close,Binance Volume,Binance Close Time,Binance Quote Asset Volume,Binance Number of Trades,Binance Taker buy base asset volume,Binance Taker buy quote asset volume,Binance Spread,Binance Percentage Change,Close Price Difference
1707567060000,118.88,118.93,118.82,118.93,17.631489,0.11000000000001364,0.06731173748423433,118.99000000,119.01000000,118.86000000,118.95000000,69.84000000,,,,,,0.15000000000000568,-0.042016806722686685,-0.01999999999999602
1707567120000,118.95,119.09,118.93,119.09,5.8934,0.1599999999999966,0.13453291852349836,118.97000000,119.19000000,118.96000000,119.16000000,88.94000000,,,,,,0.23000000000000398,0.17654476670869587,-0.06999999999999318
1707567180000,119.1,119.17,119.1,119.15,0.283833,0.07000000000000739,0.05038206398522317,119.18000000,119.22000000,119.08000000,119.14000000,43.82000000,,,,,,0.14000000000000057,-0.016784155756962085,0.010000000000005116
1707567240000,119.15,119.15,119.15,119.15,0,0.0,0.0,119.17000000,119.17000000,119.05000000,119.11000000,45.27000000,,,,,,0.12000000000000455,-0.025180459963069612,0.04000000000000625
1707567300000,119.15,119.15,119.15,119.15,0,0.0,0.0,119.10000000,119.10000000,118.92000000,119.01000000,79.54000000,,,,,,0.1799999999999926,-0.08395600705229982,0.14000000000000057
1707567360000,118.84,118.84,118.8,118.8,0.949506,0.04000000000000625,-0.2937473772555673,119.00000000,119.08000000,118.86000000,118.90000000,67.93000000,,,,,,0.21999999999999886,-0.09242920762961047,-0.10000000000000853
1707567420000,118.8,118.8,118.77,118.77,42.509409,0.030000000000001137,-0.025252525252526213,118.87000000,118.89000000,118.70000000,118.80000000,171.71000000,,,,,,0.18999999999999773,-0.08410428931876242,-0.030000000000001137
1707567480000,118.77,118.77,118.77,118.77,1.723797,0.0,0.0,118.77000000,118.83000000,118.74000000,118.79000000,45.38000000,,,,,,0.09000000000000341,-0.008417508417500762,-0.020000000000010232
1707567540000,118.73,118.77,118.73,118.77,14.501459,0.03999999999999204,0.0,118.81000000,118.86000000,118.70000000,118.83000000,48.69000000,,,,,,0.1599999999999966,0.033672868086532574,-0.060000000000002274
1707567600000,118.81,118.81,118.81,118.81,5.020981,0.0,0.033678538351440815,118.83000000,118.85000000,118.66000000,118.83000000,83.57000000,,,,,,0.18999999999999773,0.0,-0.01999999999999602
1707567660000,118.81,118.81,118.81,118.81,1.055045,0.0,0.0,118.85000000,118.85000000,118.78000000,118.78000000,16.05000000,,,,,,0.06999999999999318,-0.0420769166035489,0.030000000000001137
1707567720000,118.78,118.78,118.78,118.78,0.03001,0.0,-0.025250399797997758,118.74000000,118.84000000,118.74000000,118.80000000,12.53000000,,,,,,0.10000000000000853,0.016837851490146508,-0.01999999999999602
1707567780000,118.73,118.73,118.73,118.73,0.0287,0.0,-0.04209462872537225,118.81000000,118.85000000,118.75000000,118.82000000,32.65000000,,,,,,0.09999999999999432,0.016835016835013487,-0.0899999999999892
1707567840000,118.73,118.73,118.73,118.73,0,0.0,0.0,118.85000000,118.85000000,118.80000000,118.82000000,15.28000000,,,,,,0.04999999999999716,0.0,-0.0899999999999892
1707567900000,118.88,118.88,118.88,118.88,12.77209,0.0,0.12633706729553731,118.85000000,118.87000000,118.85000000,118.86000000,80.77000000,,,,,,0.020000000000010232,0.033664366268310264,0.01999999999999602
1707567960000,118.8,118.8,118.8,118.8,2.251493,0.0,-0.06729475100941984,118.85000000,118.86000000,118.81000000,118.86000000,77.70000000,,,,,,0.04999999999999716,0.0,-0.060000000000002274
1707568020000,118.8,118.8,118.8,118.8,0,0.0,0.0,118.86000000,118.92000000,118.82000000,118.88000000,20.92000000,,,,,,0.10000000000000853,0.0168265185932997,-0.0799999999999983
1707568080000,118.8,118.8,118.8,118.8,0,0.0,0.0,118.90000000,118.90000000,118.78000000,118.81000000,43.46000000,,,,,,0.12000000000000455,-0.05888290713323787,-0.010000000000005116
1707568140000,118.8,118.8,118.8,118.8,0,0.0,0.0,118.86000000,118.88000000,118.84000000,118.84000000,4.89000000,,,,,,0.03999999999999204,0.025250399797997758,-0.04000000000000625
1707568200000,118.73,118.73,118.73,118.73,1.078553,0.0,-0.058922558922553187,118.83000000,118.83000000,118.67000000,118.67000000,77.25000000,,,,,,0.1599999999999966,-0.14304947829013945,0.060000000000002274
