DateTime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
1698803280000,111.74000000,111.94000000,111.74000000,111.75000000,16.38000000,1698803339999,1831.59790000,42,10.58000000,1183.08780000
1698803340000,111.75000000,111.75000000,111.54000000,111.61000000,20.72000000,1698803399999,2312.90200000,33,3.18000000,354.87150000
1698803400000,111.63000000,111.75000000,111.55000000,111.55000000,90.76000000,1698803459999,10136.72760000,60,15.85000000,1770.15650000
1698803460000,111.61000000,111.66000000,111.50000000,111.50000000,89.42000000,1698803519999,9972.07640000,72,9.97000000,1112.54800000
1698803520000,111.45000000,111.45000000,111.11000000,111.15000000,144.53000000,1698803579999,16076.58030000,199,19.33000000,2150.23850000
1698803580000,111.19000000,111.37000000,111.12000000,111.15000000,49.35000000,1698803639999,5489.99370000,73,8.65000000,963.06180000
1698803640000,111.19000000,111.29000000,111.18000000,111.20000000,14.55000000,1698803699999,1618.26300000,23,9.25000000,1028.80090000
1698803700000,111.32000000,111.33000000,111.13000000,111.33000000,32.85000000,1698803759999,3653.39790000,56,19.05000000,2118.87420000
1698803760000,111.43000000,111.65000000,111.43000000,111.57000000,21.43000000,1698803819999,2390.66830000,42,10.70000000,1193.89070000
1698803820000,111.57000000,111.60000000,111.11000000,111.14000000,213.54000000,1698803879999,23777.27080000,203,64.75000000,7211.11130000
1698803880000,111.15000000,111.38000000,111.14000000,111.38000000,24.93000000,1698803939999,2774.16150000,41,5.99000000,666.50100000
1698803940000,111.31000000,111.41000000,111.25000000,111.31000000,14.66000000,1698803999999,1632.00770000,27,9.10000000,1013.29400000
1698804000000,111.32000000,111.41000000,111.15000000,111.18000000,90.71000000,1698804059999,10094.18270000,139,39.41000000,4385.98480000
1698804060000,111.20000000,111.25000000,110.87000000,111.14000000,666.08000000,1698804119999,73946.52660000,498,100.69000000,11186.90360000
1698804120000,111.17000000,111.80000000,111.13000000,111.67000000,165.19000000,1698804179999,18421.24480000,227,94.67000000,10562.63310000
1698804180000,111.68000000,111.90000000,111.39000000,111.47000000,94.88000000,1698804239999,10600.50240000,172,39.98000000,4465.86450000
1698804240000,111.48000000,111.80000000,111.48000000,111.77000000,29.34000000,1698804299999,3274.81370000,51,18.45000000,2059.44760000
1698804300000,111.78000000,111.78000000,111.46000000,111.47000000,24.74000000,1698804359999,2762.53350000,30,17.17000000,1916.97000000
1698804360000,111.52000000,111.71000000,111.52000000,111.65000000,4.23000000,1698804419999,472.27690000,8,3.53000000,394.09390000
1698804420000,111.61000000,111.94000000,111.59000000,111.83000000,83.40000000,1698804479999,9327.41030000,112,42.16000000,4714.72090000
1698804480000,111.82000000,112.13000000,111.81000000,111.88000000,90.47000000,1698804539999,10134.49790000,112,54.44000000,6099.41600000
1698804540000,111.89000000,111.95000000,111.76000000,111.87000000,12.67000000,1698804599999,1417.09790000,19,7.62000000,852.05000000
1698804600000,111.90000000,111.98000000,111.75000000,111.98000000,5.79000000,1698804659999,647.49970000,18,3.19000000,356.79760000
1698804660000,112.04000000,112.14000000,111.98000000,112.06000000,46.81000000,1698804719999,5246.48190000,61,31.63000000,3545.43070000
1698804720000,112.07000000,112.12000000,112.04000000,112.06000000,72.93000000,1698804779999,8174.60270000,60,22.88000000,2564.66220000
1698804780000,112.08000000,112.08000000,111.88000000,111.93000000,43.92000000,1698804839999,4918.68490000,33,11.13000000,1245.62610000
1698804840000,111.94000000,112.13000000,111.94000000,112.10000000,62.87000000,1698804899999,7046.82180000,41,58.45000000,6551.28330000
1698804900000,112.02000000,112.06000000,111.77000000,111.88000000,38.35000000,1698804959999,4291.84300000,30,7.76000000,868.30210000
1698804960000,111.86000000,111.97000000,111.82000000,111.92000000,22.93000000,1698805019999,2565.56210000,22,14.27000000,1596.96780000
1698805020000,111.94000000,112.01000000,111.79000000,111.99000000,118.18000000,1698805079999,13223.62820000,76,35.33000000,3954.78050000
1698805080000,112.01000000,112.06000000,111.79000000,111.84000000,39.87000000,1698805139999,4462.61140000,34,18.19000000,2036.68190000
1698805140000,111.80000000,111.85000000,111.68000000,111.71000000,29.58000000,1698805199999,3305.56800000,29,14.26000000,1593.63560000
1698805200000,111.73000000,111.76000000,111.62000000,111.69000000,14.21000000,1698805259999,1587.25970000,24,6.15000000,686.82820000
1698805260000,111.75000000,111.80000000,111.71000000,111.71000000,23.03000000,1698805319999,2573.87240000,20,19.49000000,2178.29070000
1698805320000,111.69000000,111.69000000,111.30000000,111.32000000,77.41000000,1698805379999,8630.68750000,91,9.56000000,1065.79610000
1698805380000,111.26000000,111.41000000,111.25000000,111.35000000,88.42000000,1698805439999,9840.92550000,47,2.57000000,286.21570000
1698805440000,111.42000000,111.53000000,111.17000000,111.37000000,201.41000000,1698805499999,22422.10530000,78,105.87000000,11792.78140000
1698805500000,111.39000000,111.40000000,111.22000000,111.25000000,14.90000000,1698805559999,1658.62570000,14,9.51000000,1058.41420000
1698805560000,111.31000000,111.39000000,111.31000000,111.39000000,17.18000000,1698805619999,1912.55360000,14,6.85000000,762.51330000
1698805620000,111.41000000,111.50000000,111.36000000,111.39000000,52.09000000,1698805679999,5804.33360000,80,29.97000000,3339.74550000
1698805680000,111.39000000,111.47000000,111.33000000,111.42000000,58.53000000,1698805739999,6517.81260000,57,56.20000000,6258.35870000
1698805740000,111.44000000,111.55000000,111.40000000,111.51000000,25.43000000,1698805799999,2835.32810000,51,15.06000000,1679.37110000
1698805800000,111.48000000,111.74000000,111.45000000,111.57000000,24.38000000,1698805859999,2720.87080000,61,13.20000000,1472.93600000
1698805860000,111.57000000,111.64000000,111.57000000,111.61000000,29.39000000,1698805919999,3279.22230000,17,9.13000000,1018.81410000
1698805920000,111.61000000,111.65000000,111.53000000,111.63000000,15.34000000,1698805979999,1711.26520000,10,11.04000000,1231.66870000
1698805980000,111.59000000,111.87000000,111.37000000,111.85000000,70.14000000,1698806039999,7829.15680000,69,49.03000000,5472.97300000
1698806040000,111.85000000,111.89000000,111.80000000,111.84000000,300.25000000,1698806099999,33573.26240000,283,78.37000000,8765.91470000
1698806100000,111.86000000,111.94000000,111.65000000,111.65000000,529.76000000,1698806159999,59180.73900000,231,46.88000000,5245.24970000
1698806160000,111.56000000,111.56000000,111.45000000,111.48000000,22.22000000,1698806219999,2477.08720000,30,18.74000000,2089.03010000
1698806220000,111.47000000,111.59000000,111.47000000,111.53000000,15.39000000,1698806279999,1716.63140000,23,10.59000000,1181.08940000
1698806280000,111.58000000,111.60000000,111.49000000,111.52000000,18.46000000,1698806339999,2059.60610000,22,10.76000000,1200.74990000
1698806340000,111.54000000,111.55000000,111.39000000,111.39000000,35.73000000,1698806399999,3983.60640000,30,2.42000000,269.69600000
1698806400000,111.40000000,111.53000000,111.40000000,111.53000000,15.87000000,1698806459999,1768.83010000,24,14.82000000,1651.82610000
1698806460000,111.50000000,111.54000000,111.35000000,111.46000000,18.60000000,1698806519999,2072.50520000,27,14.01000000,1561.24460000
1698806520000,111.46000000,111.51000000,111.46000000,111.51000000,4.38000000,1698806579999,488.23500000,16,4.38000000,488.23500000
1698806580000,111.45000000,111.59000000,111.41000000,111.47000000,72.26000000,1698806639999,8059.01810000,99,50.15000000,5594.82480000
1698806640000,111.48000000,111.48000000,111.32000000,111.32000000,24.72000000,1698806699999,2753.73400000,29,3.61000000,402.23340000
1698806700000,111.36000000,111.54000000,111.30000000,111.39000000,40.12000000,1698806759999,4469.15590000,50,22.58000000,2514.77480000
1698806760000,111.39000000,111.39000000,110.77000000,110.96000000,311.91000000,1698806819999,34608.43980000,296,52.98000000,5882.21700000
1698806820000,110.94000000,111.01000000,110.00000000,110.07000000,1167.63000000,1698806879999,128784.22470000,879,296.13000000,32662.67700000
1698806880000,110.11000000,110.61000000,110.10000000,110.55000000,266.23000000,1698806939999,29374.09550000,336,66.62000000,7356.58360000
1698806940000,110.54000000,110.69000000,110.47000000,110.59000000,89.51000000,1698806999999,9894.89400000,144,22.98000000,2540.74990000
1698807000000,110.59000000,110.68000000,110.46000000,110.57000000,139.61000000,1698807059999,15440.49970000,158,28.79000000,3184.23160000
1698807060000,110.58000000,110.71000000,110.58000000,110.68000000,48.66000000,1698807119999,5383.17690000,102,7.46000000,825.58170000
1698807120000,110.76000000,110.76000000,110.52000000,110.70000000,25.94000000,1698807179999,2869.77120000,49,8.42000000,932.02800000
1698807180000,110.74000000,110.78000000,110.64000000,110.73000000,22.21000000,1698807239999,2458.92800000,45,10.75000000,1190.18840000
1698807240000,110.72000000,110.87000000,110.54000000,110.57000000,250.93000000,1698807299999,27789.36940000,229,178.87000000,19808.83590000
1698807300000,110.56000000,111.31000000,110.51000000,110.93000000,684.86000000,1698807359999,75966.58270000,396,555.83000000,61647.47510000
1698807360000,110.93000000,111.33000000,110.93000000,111.05000000,674.94000000,1698807419999,75018.43990000,824,303.16000000,33707.94280000
1698807420000,111.05000000,111.50000000,111.05000000,111.28000000,896.72000000,1698807479999,99772.04180000,818,588.10000000,65460.00220000
1698807480000,111.28000000,111.73000000,110.83000000,110.88000000,608.91000000,1698807539999,67791.90600000,431,170.70000000,19015.82940000
1698807540000,110.93000000,111.08000000,110.90000000,110.93000000,146.09000000,1698807599999,16213.44550000,167,68.09000000,7557.07340000
1698807600000,110.93000000,111.03000000,110.79000000,111.00000000,992.92000000,1698807659999,110060.68170000,179,835.76000000,92635.50060000
1698807660000,111.00000000,111.04000000,110.65000000,111.04000000,172.62000000,1698807719999,19129.33330000,130,91.98000000,10195.22630000
1698807720000,111.07000000,111.23000000,111.07000000,111.08000000,169.13000000,1698807779999,18795.97400000,134,75.00000000,8335.67670000
1698807780000,111.03000000,111.13000000,110.99000000,111.00000000,23.79000000,1698807839999,2642.11880000,19,15.70000000,1743.80850000
1698807840000,110.95000000,111.00000000,110.94000000,110.97000000,15.57000000,1698807899999,1727.74230000,17,11.79000000,1308.34230000
1698807900000,110.97000000,111.00000000,110.89000000,110.91000000,35.91000000,1698807959999,3984.41610000,31,19.42000000,2155.41100000
1698807960000,110.85000000,111.12000000,110.81000000,111.04000000,82.17000000,1698808019999,9119.00890000,65,50.03000000,5551.87110000
1698808020000,110.99000000,110.99000000,110.92000000,110.92000000,7.15000000,1698808079999,793.44880000,7,0.55000000,61.04100000
1698808080000,110.93000000,110.93000000,110.66000000,110.69000000,86.98000000,1698808139999,9636.46520000,82,10.13000000,1121.59880000
1698808140000,110.65000000,110.65000000,110.41000000,110.44000000,95.55000000,1698808199999,10559.58520000,108,19.21000000,2123.11090000
1698808200000,110.45000000,110.52000000,110.32000000,110.32000000,61.86000000,1698808259999,6830.86790000,82,11.99000000,1323.68680000
1698808260000,110.32000000,110.65000000,110.15000000,110.65000000,63.92000000,1698808319999,7054.66740000,101,26.71000000,2947.78020000
1698808320000,110.55000000,110.67000000,110.53000000,110.62000000,38.41000000,1698808379999,4248.29690000,37,13.73000000,1518.39230000
1698808380000,110.64000000,110.84000000,110.64000000,110.68000000,52.12000000,1698808439999,5771.71220000,71,22.72000000,2515.36550000
1698808440000,110.66000000,110.67000000,110.55000000,110.56000000,28.03000000,1698808499999,3100.11140000,54,8.94000000,988.94920000
